cluster,run_index,msg_size,lost,total_msg_packets,loss_rate
nantes,0,10000000,28,8188,0.003419638495359062
nantes,0,10000000,28,8188,0.003419638495359062
nantes,0,10000000,28,8188,0.003419638495359062
nantes,0,10000000,28,8188,0.003419638495359062
nancy,0,10000000,28,8188,0.003419638495359062
nancy,0,10000000,28,8188,0.003419638495359062
nancy,0,10000000,28,8188,0.003419638495359062
nancy,0,10000000,28,8188,0.003419638495359062
rennes,0,10000000,28,8188,0.003419638495359062
nancy,0,10000000,28,8188,0.003419638495359062
nantes,0,10000000,28,8188,0.003419638495359062
nantes,0,10000000,28,8188,0.003419638495359062
nantes,0,10000000,28,8188,0.003419638495359062
nantes,0,10000000,28,8188,0.003419638495359062
nantes,0,10000000,28,8188,0.003419638495359062
lyon,0,10000000,28,8188,0.003419638495359062
lyon,0,10000000,28,8188,0.003419638495359062
lyon,0,10000000,28,8188,0.003419638495359062
lyon,0,10000000,28,8188,0.003419638495359062
rennes,0,10000000,28,8188,0.003419638495359062
lyon,0,10000000,28,8188,0.003419638495359062
nancy,0,10000000,28,8188,0.003419638495359062
nancy,0,10000000,28,8188,0.003419638495359062
nancy,0,10000000,28,8188,0.003419638495359062
nancy,0,10000000,28,8188,0.003419638495359062
nancy,0,10000000,28,8188,0.003419638495359062
nantes,0,10000000,28,8188,0.003419638495359062
nantes,0,10000000,28,8188,0.003419638495359062
nantes,0,10000000,28,8188,0.003419638495359062
nantes,0,10000000,28,8188,0.003419638495359062
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
lyon,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
rennes,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
nantes,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
nancy,1,10000000,29,8191,0.0035404712489317544
