time,run_index,msg_size,cwnd
3763.9907,4,1000000,26595
3797.2566,4,1000000,27945
3830.5684,4,1000000,29295
3861.8914,4,1000000,30645
3894.8103,4,1000000,31995
3924.9363,4,1000000,33345
3954.7317,4,1000000,34695
3986.9,4,1000000,36045
4023.6978,4,1000000,37395
4055.0627,4,1000000,38745
4087.06,4,1000000,40095
4119.7783,4,1000000,41445
4152.9253,4,1000000,42795
4186.1104,4,1000000,44145
4218.739,4,1000000,45495
4250.8716,4,1000000,46845
4283.8857,4,1000000,48195
4317.547,4,1000000,49545
4351.9385,4,1000000,50895
4385.98,4,1000000,52245
3360.376,5,1000000,14850
3371.2222,5,1000000,10395
3422.4946,5,1000000,11745
3483.738,5,1000000,13095
3547.6162,5,1000000,14445
3611.155,5,1000000,15795
3642.599,5,1000000,17145
3675.051,5,1000000,18495
3706.5012,5,1000000,19845
3739.0176,5,1000000,21195
3777.4304,5,1000000,22545
3809.0137,5,1000000,23895
3842.808,5,1000000,25245
3876.1587,5,1000000,26595
3908.7878,5,1000000,27945
3940.7373,5,1000000,29295
3971.3337,5,1000000,30645
4001.1863,5,1000000,31995
4031.3035,5,1000000,33345
4062.3765,5,1000000,34695
4092.6462,5,1000000,36045
4131.6733,5,1000000,37395
4173.053,5,1000000,38745
4206.5693,5,1000000,40095
4238.1694,5,1000000,41445
4269.8003,5,1000000,42795
4302.729,5,1000000,44145
4340.988,5,1000000,45495
4373.7295,5,1000000,46845
4405.507,5,1000000,48195
4437.5957,5,1000000,49545
4469.6094,5,1000000,50895
3343.4363,6,1000000,14850
3354.8079,6,1000000,10395
3407.3755,6,1000000,11745
3466.7935,6,1000000,13095
3531.0923,6,1000000,14445
3596.7725,6,1000000,15795
3627.1204,6,1000000,17145
3657.4866,6,1000000,18495
3689.595,6,1000000,19845
3723.1313,6,1000000,21195
3754.8198,6,1000000,22545
3785.2776,6,1000000,23895
3815.9814,6,1000000,25245
3845.8823,6,1000000,26595
3875.7573,6,1000000,27945
3905.1145,6,1000000,29295
3936.3828,6,1000000,30645
3968.2712,6,1000000,31995
4000.4792,6,1000000,33345
4031.6829,6,1000000,34695
4063.8123,6,1000000,36045
4096.1353,6,1000000,37395
4128.2754,6,1000000,38745
4160.637,6,1000000,40095
4192.127,6,1000000,41445
4223.253,6,1000000,42795
4255.136,6,1000000,44145
4286.832,6,1000000,45495
4319.614,6,1000000,46845
4353.299,6,1000000,48195
4386.09,6,1000000,49545
4419.3896,6,1000000,50895
4454.806,6,1000000,52245
3256.9739,7,1000000,14850
3282.006,7,1000000,10395
3341.58,7,1000000,11745
3401.0068,7,1000000,13095
3460.7188,7,1000000,14445
3520.8777,7,1000000,15795
3551.0225,7,1000000,17145
3581.0251,7,1000000,18495
3610.6921,7,1000000,19845
3640.2014,7,1000000,21195
3670.6204,7,1000000,22545
3702.2478,7,1000000,23895
3737.9458,7,1000000,25245
3768.923,7,1000000,26595
3801.3193,7,1000000,27945
3832.8357,7,1000000,29295
3863.564,7,1000000,30645
3893.2263,7,1000000,31995
3925.5767,7,1000000,33345
3957.5095,7,1000000,34695
3989.1829,7,1000000,36045
4029.8716,7,1000000,37395
4062.1382,7,1000000,38745
4094.4248,7,1000000,40095
