cluster,run_index,msg_size,client_ip,fc_bytes,fc_pkts,uc_bytes,uc_pkts,data_bytes,data_pkts,first_data,last_data,rate_mbps,fc_data_span_ms,aligned,uc_aligned
nancy,0,10000,10.144.12.64,10485,9,13910,15,20677,17,1072.5216,1086.8995,11.50487901571165,0.3768000000000029,False,False
nancy,0,10000,10.144.12.65,10485,9,13910,15,20677,17,1076.6011,1091.1722,11.352334415383964,0.28109999999992397,False,False
nancy,0,10000,10.144.12.66,10485,9,13910,15,20677,17,1080.6487,1095.4043,11.210387920518343,0.2806000000000495,False,False
nancy,0,10000,10.144.12.67,10485,9,13910,15,20677,17,1084.7747,1099.1041,11.54381900149337,0.27719999999999345,False,False
nancy,0,10000,10.144.12.68,10485,9,13910,15,20677,17,1088.5194,1102.786,11.594633619783146,0.35710000000017317,False,False
nancy,0,10000,10.144.12.69,10485,9,13910,15,20677,17,1092.6428,1106.7637,11.714267504195998,0.3772999999998774,False,False
nancy,0,10000,10.144.12.7,10485,9,13910,15,20677,17,1079.2837,1093.2612,11.83444822035417,0.1250999999999749,False,False
nancy,0,10000,10.144.12.70,10485,9,13910,15,20677,17,1096.7854,1110.5315,12.033667731210974,0.3647000000000844,False,False
nancy,0,10000,10.144.12.71,10485,9,13910,15,20677,17,1100.9429,1115.627,11.264973679013398,0.2884999999998854,False,False
nancy,0,10000,10.144.12.72,10485,9,6266,9,13033,11,1104.9735,1118.9218,7.475032799696011,0.3493999999998323,False,False
nancy,0,10000,10.144.12.73,10485,9,13910,15,20677,17,1109.2941,1123.352,11.766764594996392,0.3491999999998825,False,False
nancy,0,10000,10.144.12.74,10485,9,6266,9,13033,11,1113.2261,1127.1259,7.501115123958664,0.35399999999981446,False,False
nancy,0,10000,10.144.12.75,10485,9,13910,15,20677,17,1117.043,1131.6123,11.353736967458884,0.28880000000003747,False,False
nancy,0,10000,10.144.12.76,10485,9,8814,11,15581,13,1121.3782,1132.5253,11.182101174296545,0.34019999999986794,False,False
nancy,0,10000,10.144.12.8,10485,9,13910,15,20677,17,1083.1462,1097.3721,11.627805622139787,0.21510000000012042,False,False
nancy,0,10000,10.144.12.9,10485,9,13910,15,20677,17,1087.4083,1100.7886,12.362652556370154,0.07549999999991996,False,False
rennes,0,10000,10.158.4.10,10485,9,3718,7,10485,9,786.4188,786.6693,334.8502994012134,0.2504999999999882,False,False
rennes,0,10000,10.158.4.11,10485,9,3718,7,10485,9,791.9172,792.17773,321.95908340688027,0.260530000000017,False,False
rennes,0,10000,10.158.4.12,10485,9,3718,7,10485,9,797.1109,797.3781,313.92215568861974,0.26720000000000255,False,False
rennes,0,10000,10.158.4.13,10485,9,3718,7,10485,9,802.31586,802.39386,1075.3846153849665,0.07799999999997453,False,False
rennes,0,10000,10.158.4.14,10485,9,3718,7,10485,9,807.4138,807.65436,348.68639840378336,0.24055999999995947,False,False
rennes,0,10000,10.158.4.15,10485,9,3718,7,10485,9,812.7862,813.04193,328.0021898096015,0.25572999999997137,False,False
rennes,0,10000,10.158.4.16,10485,9,3718,7,10485,9,818.1459,818.384,352.2889542208693,0.2381000000000313,False,False
rennes,0,10000,10.158.4.17,10485,9,3718,7,10485,9,685.64386,685.7227,1063.9269406390833,0.07884000000001379,False,False
rennes,0,10000,10.158.4.18,10485,9,3718,7,10485,9,689.9096,690.1443,357.3924158498859,0.23470000000008895,False,False
rennes,0,10000,10.158.4.19,10485,9,3718,7,10485,9,694.6926,694.87836,451.5503875967218,0.18576000000007298,False,False
rennes,0,10000,10.158.4.2,10485,9,3718,7,10485,9,746.7249,747.0177,286.47540983612146,0.2927999999999429,False,False
rennes,0,10000,10.158.4.20,10485,9,3718,7,10485,9,699.68945,699.9414,332.92319904732574,0.25195000000007894,False,False
rennes,0,10000,10.158.4.21,10485,9,3718,7,10485,9,705.309,705.51434,408.49323073930486,0.20533999999997832,False,False
rennes,0,10000,10.158.4.22,10485,9,3718,7,10485,9,709.8724,710.0721,420.03004506758646,0.1997000000000071,False,False
rennes,0,10000,10.158.4.23,10485,9,3718,7,10485,9,715.15955,715.3404,463.8097871161956,0.18085000000007767,False,False
rennes,0,10000,10.158.4.24,10485,9,3718,7,10485,9,720.3973,720.59283,428.9878790976696,0.19553000000007614,False,False
rennes,0,10000,10.158.4.25,10485,9,3718,7,10485,9,725.42096,725.58307,517.4264388378766,0.1621099999999842,False,False
rennes,0,10000,10.158.4.26,10485,9,3718,7,10485,9,730.4539,730.6555,416.0714285714597,0.2015999999999849,False,False
rennes,0,10000,10.158.4.27,10485,9,3718,7,10485,9,734.84753,735.07733,365.0130548303591,0.2297999999999547,False,False
rennes,0,10000,10.158.4.28,10485,9,3718,7,10485,9,740.2432,740.31696,1137.2017353580263,0.07375999999999294,False,False
rennes,0,10000,10.158.4.29,10485,9,3718,7,10485,9,745.0251,745.262,354.0734487125497,0.23689999999999145,False,False
rennes,0,10000,10.158.4.3,10485,9,3718,7,10485,9,752.10583,752.2197,736.6294897689062,0.1138700000000199,False,False
