cluster,msg_size,lost,total_msg_packets,loss_rate
lyon,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
rennes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nantes,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
lyon,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
nancy,10000000,72,8213,0.00876658955314745
lyon,10000000,24,8211,0.0029229082937522835
nancy,10000000,24,8211,0.0029229082937522835
nancy,10000000,24,8211,0.0029229082937522835
nancy,10000000,24,8211,0.0029229082937522835
nancy,10000000,24,8211,0.0029229082937522835
nancy,10000000,24,8211,0.0029229082937522835
nancy,10000000,24,8211,0.0029229082937522835
nancy,10000000,24,8211,0.0029229082937522835
rennes,10000000,24,8211,0.0029229082937522835
rennes,10000000,24,8211,0.0029229082937522835
rennes,10000000,24,8211,0.0029229082937522835
rennes,10000000,24,8211,0.0029229082937522835
lyon,10000000,24,8211,0.0029229082937522835
rennes,10000000,24,8211,0.0029229082937522835
nantes,10000000,24,8211,0.0029229082937522835
nantes,10000000,24,8211,0.0029229082937522835
nantes,10000000,24,8211,0.0029229082937522835
nantes,10000000,24,8211,0.0029229082937522835
nantes,10000000,24,8211,0.0029229082937522835
