cluster,msg_size,time
lyon,1000,5107.703
nantes,1000,5083.2837
nantes,1000,5030.548
nantes,1000,5037.178
nantes,1000,5042.1504
nantes,1000,5049.1724
nantes,1000,5054.6724
nancy,1000,5143.7754
nancy,1000,5147.005
nancy,1000,5150.7896
nancy,1000,5154.674
lyon,1000,5112.8516
nancy,1000,5158.8237
lyon,1000,5031.4194
lyon,1000,5038.2534
lyon,1000,5043.7197
lyon,1000,5050.1943
lyon,1000,5055.635
lyon,1000,5024.5884
lyon,1000,5030.7837
lyon,1000,5036.3857
lyon,1000,5041.9297
lyon,1000,5119.105
lyon,1000,5047.483
rennes,1000,5034.2886
rennes,1000,5038.5234
rennes,1000,5043.6426
rennes,1000,5048.083
rennes,1000,5053.383
nantes,1000,4974.9385
nantes,1000,4981.481
nantes,1000,4986.447
nantes,1000,4993.3687
lyon,1000,5124.39
nantes,1000,4998.401
nantes,1000,4965.177
nantes,1000,4971.2812
nantes,1000,4976.5728
nantes,1000,4983.9946
nantes,1000,4989.9873
lyon,1000,4972.434
lyon,1000,4977.97
lyon,1000,4984.645
lyon,1000,4990.703
nancy,1000,5180.132
lyon,1000,4995.9644
nancy,1000,5042.816
nancy,1000,5046.271
nancy,1000,5050.272
nancy,1000,5054.2705
nancy,1000,5058.147
nancy,1000,5038.6865
nancy,1000,5042.8794
nancy,1000,5046.517
nancy,1000,5050.281
nancy,1000,5183.6943
nancy,1000,5053.694
rennes,1000,4944.806
rennes,1000,4949.515
rennes,1000,4953.9097
rennes,1000,4959.4443
rennes,1000,4963.6064
lyon,1000,4911.964
lyon,1000,4918.4375
lyon,1000,4923.121
lyon,1000,4929.6387
nancy,1000,5187.785
lyon,1000,4934.885
rennes,1000,4945.1553
rennes,1000,4950.4146
rennes,1000,4954.3247
rennes,1000,4959.7266
rennes,1000,4964.2305
nantes,1000,4891.3257
nantes,1000,4897.0435
nantes,1000,4902.5215
nantes,1000,4909.105
nancy,1000,5191.8604
nantes,1000,4914.5693
nancy,1000,4986.6416
nancy,1000,4990.072
nancy,1000,4993.644
nancy,1000,4997.9077
nancy,1000,5002.5083
rennes,1000,4905.7793
rennes,1000,4910.857
rennes,1000,4915.2075
rennes,1000,4920.8735
lyon,1000,5087.087
nancy,1000,5222.111
rennes,1000,4945.391
rennes,1000,5094.4653
rennes,1000,5099.3735
rennes,1000,5104.0264
rennes,1000,5109.475
rennes,1000,5113.4004
nantes,1000,5067.3916
nantes,1000,5072.367
nantes,1000,5078.8657
nantes,1000,5084.9814
lyon,1000,5091.132
nantes,1000,5090.609
nantes,1000,5041.7754
nantes,1000,5049.238
nantes,1000,5053.882
nantes,1000,5061.653
nantes,1000,5066.1777
nancy,1000,5144.915
nancy,1000,5150.2837
nancy,1000,5153.306
nancy,1000,5157.3535
lyon,1000,5096.9854
nancy,1000,5161.646
lyon,1000,5046.106
lyon,1000,5051.1777
lyon,1000,5057.3096
lyon,1000,5062.393
lyon,1000,5069.1367
lyon,1000,5037.8135
lyon,1000,5045.4
lyon,1000,5049.246
lyon,1000,5055.1855
lyon,1000,5102.9707
lyon,1000,5062.04
rennes,1000,5067.3574
rennes,1000,5073.116
rennes,1000,5076.974
rennes,1000,5082.766
rennes,1000,5088.129
nantes,1000,4987.937
nantes,1000,4993.94
nantes,1000,4998.583
nantes,1000,5004.924
lyon,1000,5111.176
nantes,1000,5010.7505
nantes,1000,5002.775
nantes,1000,5007.593
nantes,1000,5012.6724
nantes,1000,5019.3223
nantes,1000,5025.275
lyon,1000,4976.117
lyon,1000,4982.135
lyon,1000,4986.341
lyon,1000,4993.458
nancy,1000,5207.5425
lyon,1000,4999.707
nancy,1000,5081.7
nancy,1000,5083.581
nancy,1000,5087.8965
nancy,1000,5091.6367
nancy,1000,5096.3813
nancy,1000,5055.5513
nancy,1000,5059.738
nancy,1000,5063.66
nancy,1000,5068.326
nancy,1000,5209.179
nancy,1000,5070.4844
rennes,1000,4978.615
rennes,1000,4983.624
rennes,1000,4987.908
rennes,1000,4994.1665
rennes,1000,4998.2437
lyon,1000,4944.842
lyon,1000,4951.4736
lyon,1000,4956.7476
lyon,1000,4962.2324
nancy,1000,5214.0503
lyon,1000,4969.303
rennes,1000,4967.5273
rennes,1000,4972.9
rennes,1000,4978.537
rennes,1000,4982.7783
rennes,1000,4988.1396
nantes,1000,4900.127
nantes,1000,4905.7866
nantes,1000,4913.1367
nantes,1000,4918.8164
nancy,1000,5217.828
nantes,1000,4926.04
nancy,1000,4998.0693
nancy,1000,5003.7075
nancy,1000,5007.104
nancy,1000,5011.182
nancy,1000,5015.676
rennes,1000,4926.6426
rennes,1000,4929.8784
rennes,1000,4934.6494
rennes,1000,4940.8413
lyon,1000,5121.5713
nancy,1000,5210.2935
rennes,1000,4948.849
rennes,1000,5089.3267
rennes,1000,5094.205
rennes,1000,5099.1626
rennes,1000,5103.661
rennes,1000,5107.8955
nantes,1000,5066.474
nantes,1000,5073.1274
nantes,1000,5078.495
nantes,1000,5083.948
lyon,1000,5127.223
nantes,1000,5089.574
nantes,1000,5054.2036
nantes,1000,5060.759
nantes,1000,5066.4097
nantes,1000,5072.768
nantes,1000,5078.6064
nancy,1000,5162.1025
nancy,1000,5165.786
nancy,1000,5169.7144
nancy,1000,5173.8037
