"index","ADDITIONAL_DATA_SIZE","y_LATENCY","run_index"
1743,100000,276352.0,7
1744,100000,276327.0,7
1745,100000,276478.0,7
1746,100000,276561.0,7
1747,100000,276690.0,7
1748,100000,276532.0,7
1749,100000,276690.0,7
1750,100000,268522.0,7
1751,100000,268512.0,7
1752,100000,268485.0,7
1753,100000,268520.0,7
1754,100000,268513.0,7
1755,100000,272369.0,7
1756,100000,272416.0,7
1757,100000,272393.0,7
1758,100000,272420.0,7
1759,100000,272376.0,7
1760,100000,276801.0,7
1761,100000,276780.0,7
1762,100000,276773.0,7
1763,100000,276805.0,7
1764,100000,276777.0,7
1765,100000,267896.0,7
1766,100000,267905.0,7
1767,100000,267820.0,7
1768,100000,267897.0,7
1769,100000,267880.0,7
1770,100000,267941.0,7
1771,100000,267930.0,7
1772,100000,267932.0,7
1773,100000,267928.0,7
1774,100000,267937.0,7
1775,100000,276049.0,7
1776,100000,276055.0,7
1777,100000,276059.0,7
1778,100000,276058.0,7
1779,100000,276023.0,7
1780,100000,276619.0,7
1781,100000,276655.0,7
1782,100000,276650.0,7
1783,100000,276593.0,7
1784,100000,276586.0,7
1785,100000,277274.0,7
1786,100000,277254.0,7
1787,100000,277220.0,7
1788,100000,277224.0,7
1789,100000,277282.0,7
1790,100000,274507.0,7
1791,100000,274496.0,7
1792,100000,274472.0,7
1793,100000,274502.0,7
1794,100000,274499.0,7
1795,100000,277250.0,7
1796,100000,277285.0,7
1797,100000,277226.0,7
1798,100000,277278.0,7
1799,100000,277282.0,7
1800,100000,275418.0,8
1801,100000,275416.0,8
1802,100000,275427.0,8
1803,100000,275398.0,8
1804,100000,275425.0,8
1805,100000,267475.0,8
1806,100000,267388.0,8
1807,100000,267389.0,8
1808,100000,267401.0,8
1809,100000,267370.0,8
1810,100000,274812.0,8
1811,100000,274824.0,8
1812,100000,274819.0,8
1813,100000,274824.0,8
1814,100000,274782.0,8
1815,100000,274850.0,8
1816,100000,274839.0,8
1817,100000,274962.0,8
1818,100000,274964.0,8
1819,100000,274860.0,8
1820,100000,275126.0,8
1821,100000,275126.0,8
1822,100000,275143.0,8
1823,100000,275115.0,8
1824,100000,275112.0,8
1825,100000,267795.0,8
1826,100000,267791.0,8
1827,100000,267798.0,8
1828,100000,267804.0,8
1829,100000,267803.0,8
1830,100000,275448.0,8
1831,100000,275546.0,8
1832,100000,275572.0,8
1833,100000,275546.0,8
1834,100000,275426.0,8
1835,100000,275365.0,8
1836,100000,275458.0,8
1837,100000,275374.0,8
1838,100000,275453.0,8
1839,100000,275365.0,8
1840,100000,275044.0,8
1841,100000,275068.0,8
1842,100000,275047.0,8
1843,100000,275056.0,8
1844,100000,275047.0,8
1845,100000,275022.0,8
1846,100000,275022.0,8
1847,100000,275027.0,8
1848,100000,274969.0,8
1849,100000,275001.0,8
1850,100000,267006.0,8
1851,100000,266991.0,8
1852,100000,266982.0,8
1853,100000,267006.0,8
1854,100000,266995.0,8
1855,100000,270923.0,8
1856,100000,270974.0,8
1857,100000,270946.0,8
1858,100000,270980.0,8
1859,100000,270923.0,8
1860,100000,275270.0,8
1861,100000,275235.0,8
1862,100000,275301.0,8
1863,100000,275301.0,8
1864,100000,275294.0,8
1865,100000,266537.0,8
1866,100000,266530.0,8
1867,100000,266666.0,8
1868,100000,266666.0,8
1869,100000,266518.0,8
1870,100000,266525.0,8
1871,100000,266527.0,8
1872,100000,266524.0,8
1873,100000,266510.0,8
1874,100000,266527.0,8
1875,100000,274574.0,8
1876,100000,274610.0,8
1877,100000,274591.0,8
1878,100000,274599.0,8
1879,100000,274603.0,8
1880,100000,275211.0,8
1881,100000,275146.0,8
1882,100000,275122.0,8
1883,100000,275123.0,8
1884,100000,275211.0,8
1885,100000,275891.0,8
1886,100000,275892.0,8
1887,100000,275850.0,8
1888,100000,275826.0,8
1889,100000,275888.0,8
1890,100000,273256.0,8
1891,100000,273210.0,8
1892,100000,273223.0,8
1893,100000,273221.0,8
1894,100000,273209.0,8
1895,100000,276018.0,8
1896,100000,276018.0,8
1897,100000,276024.0,8
1898,100000,275988.0,8
1899,100000,276028.0,8
1900,100000,276674.0,9
1901,100000,276683.0,9
1902,100000,276675.0,9
1903,100000,276662.0,9
1904,100000,276660.0,9
1905,100000,268710.0,9
1906,100000,268717.0,9
1907,100000,268731.0,9
1908,100000,268728.0,9
1909,100000,268696.0,9
1910,100000,276169.0,9
1911,100000,276026.0,9
1912,100000,276057.0,9
1913,100000,276061.0,9
1914,100000,276187.0,9
1915,100000,276214.0,9
1916,100000,276196.0,9
1917,100000,276228.0,9
1918,100000,276171.0,9
1919,100000,276220.0,9
1920,100000,276429.0,9
1921,100000,276434.0,9
1922,100000,276413.0,9
1923,100000,276409.0,9
1924,100000,276435.0,9
1925,100000,269110.0,9
1926,100000,269085.0,9
1927,100000,269120.0,9
1928,100000,269113.0,9
1929,100000,269100.0,9
1930,100000,276750.0,9
1931,100000,276771.0,9
1932,100000,276771.0,9
1933,100000,276728.0,9
1934,100000,276768.0,9
1935,100000,276737.0,9
1936,100000,276732.0,9
1937,100000,276706.0,9
1938,100000,276711.0,9
1939,100000,276664.0,9
1940,100000,276398.0,9
1941,100000,276360.0,9
1942,100000,276391.0,9
1943,100000,276389.0,9
1944,100000,276390.0,9
1945,100000,276582.0,9
1946,100000,276442.0,9
1947,100000,276582.0,9
1948,100000,276446.0,9
1949,100000,276442.0,9
1950,100000,268323.0,9
1951,100000,268299.0,9
1952,100000,268277.0,9
1953,100000,268298.0,9
1954,100000,268261.0,9
