"index","ADDITIONAL_DATA_SIZE","run_index","time_rel","cpu_id","utilization_percentage"
168144,10000000,6,70.089,57,0.0
168145,10000000,6,70.089,58,0.0
168146,10000000,6,70.089,59,0.0
168147,10000000,6,70.089,60,0.0
168148,10000000,6,70.089,61,0.0
168149,10000000,6,70.089,62,0.0
168150,10000000,6,70.089,63,0.0
168151,10000000,6,70.089,64,0.0
168152,10000000,6,70.089,65,0.0
168153,10000000,6,70.089,66,0.0
168154,10000000,6,70.089,67,0.0
168155,10000000,6,70.089,68,0.0
168156,10000000,6,70.089,69,0.0
168157,10000000,6,70.089,70,0.0
168158,10000000,6,70.089,71,0.0
168159,10000000,6,70.089,72,0.0
168160,10000000,6,70.089,73,0.0
168161,10000000,6,70.089,74,0.0
168162,10000000,6,70.089,75,0.0
168163,10000000,6,70.089,76,0.0
168164,10000000,6,70.089,77,0.0
168165,10000000,6,70.089,78,0.0
168166,10000000,6,70.089,79,0.0
168167,10000000,6,70.089,80,0.0
168168,10000000,6,70.089,81,0.0
168169,10000000,6,70.089,82,0.0
168170,10000000,6,70.089,83,0.0
168171,10000000,6,70.089,84,0.0
168172,10000000,6,70.089,85,0.0
168173,10000000,6,70.089,86,0.0
168174,10000000,6,70.089,87,0.0
168175,10000000,6,70.089,88,0.0
168176,10000000,6,70.089,89,0.0
168177,10000000,6,70.089,90,0.0
168178,10000000,6,70.089,91,0.0
168179,10000000,6,70.089,92,0.0
168180,10000000,6,70.089,93,0.0
168181,10000000,6,70.089,94,0.0
168182,10000000,6,70.089,95,0.0
168183,10000000,6,70.089,96,0.0
168184,10000000,6,70.089,97,0.0
168185,10000000,6,70.089,98,0.0
168186,10000000,6,70.089,99,0.0
168187,10000000,6,70.089,100,0.0
168188,10000000,6,70.089,101,0.0
168189,10000000,6,70.089,102,0.0
168190,10000000,6,70.089,103,0.0
168191,10000000,6,70.089,104,0.0
168192,10000000,6,70.089,105,0.0
168193,10000000,6,70.089,106,0.0
168194,10000000,6,70.089,107,0.0
168195,10000000,6,70.089,108,0.0
168196,10000000,6,70.089,109,0.0
168197,10000000,6,70.089,110,0.0
168198,10000000,6,70.089,111,0.0
168199,10000000,6,70.089,112,0.0
168200,10000000,6,70.089,113,0.0
168201,10000000,6,70.089,114,0.0
168202,10000000,6,70.089,115,0.0
168203,10000000,6,70.089,116,0.0
168204,10000000,6,70.089,117,0.0
168205,10000000,6,70.089,118,0.0
168206,10000000,6,70.089,119,0.0
168207,10000000,6,70.089,120,0.0
168208,10000000,6,70.089,121,0.0
168209,10000000,6,70.089,122,0.0
168210,10000000,6,70.089,123,0.0
168211,10000000,6,70.089,124,0.0
168212,10000000,6,70.089,125,0.0
